State,"Number of visits per 100,000 population"
Massachusetts,441.6
Rhode Island,288.6
Maryland,288.4
Ohio,276.5
Connecticut,243.0
Kentucky,209.3
New Jersey,208.2
Vermont,199.9
Arizona,199.9
New York,181.9
Nevada,172.7
North Carolina,165.9
Utah,161.6
Illinois,160.4
Missouri,155.0
California,145.0
Indiana,142.5
Wisconsin,141.0
Tennessee,133.4
Minnesota,120.9
Hawaii,100.6
Florida,98.2
South Carolina,95.8
North Dakota,85.4
Georgia,84.6
Kansas,69.0
Arkansas,62.3
South Dakota,47.1
Nebraska,39.9
Iowa,31.1
