Richest families in Russia,Assets in billion U.S. dollars
"Arkady Rotenberg, Boris Rotenberg, Igor Rotenberg, and Liliya Rotenberg",5.45
"Andrei Guriev, Evgeniya Gurieva, Andrei Guriev Jr., Julia Gurieva-Motlokhov",5.1
"Mikhail Gutseriev, Sait-Salam Gutseriev, Said Gutseriev",3.2
"Airat Shaimiev, Radik Shaimiev, Timur Shaimiev",2.85
"Vladimir Evtushenkov, Felix Evtushenkov",2.3
"Musa Bazhaev, Mavlit Bazhaev, Deni Bazhaev",1.9
"Megdet Rahimkulov, Timur Rahimkulov, Ruslan Rahimkulov",1.8
"Sergei Sarkisov, Nikolai Sarkisov",1.7
"Alexander Linnik, Viktor Linnik",1.35
"Lidiya Mikhailova, Sergey Mikhailov, Evgeny Mikhailov, Lyudmila Mikhailova",1.1
