Year,GDP per capita in U.S. dollars
2025*,4056.16
2024*,3875.58
2023*,3710.23
2022*,3553.17
2021*,3408.59
2020*,3121.38
2019*,3331.76
2018,3348.14
2017,3148.01
2016,2995.68
2015,2964.96
2014,3259.72
2013,3200.48
2012,2979.74
2011,3111.54
2010,2896.56
2009,2922.59
2008,2946.93
2007,2549.88
2006,2242.73
2005,2063.31
2004,1999.13
2003,1768.6
2002,1453.94
2001,1376.53
2000,1373.92
1999,1492.18
1998,1519.17
1997,1442.43
1996,1612.85
1995,1479.28
1994,1369.64
1993,1239.05
1992,1343.36
1991,1310.61
1990,1248.81
1989,1109.29
1988,1102.83
1987,952.58
1986,884.05
1985,685.33
