State,Percentage of individuals accessing the internet anywhere
Colorado,88.2%
Utah,88.1%
New Hampshire,87.8%
District of Columbia,87.3%
Minnesota,85.4%
Iowa,84.3%
Oregon,84.1%
Illinois,83.8%
Rhode Island,83.7%
Idaho,83.7%
Oklahoma,83.2%
Maryland,82.9%
Wisconsin,82.6%
Arizona,82.1%
Virginia,81.7%
Nebraska,81.4%
New Jersey,81.3%
Montana,81.3%
Hawaii,81.3%
South Carolina,81.1%
Arkansas,80.9%
North Dakota,80.6%
Missouri,80.6%
Indiana,80.5%
Washington,80.3%
Alabama,80.1%
Vermont,80.1%
Connecticut,79.9%
South Dakota,79.8%
Georgia,79.4%
Total US,79.4%
Michigan,79.3%
Wyoming,79.1%
Maine,78.9%
New Mexico,78.5%
Kentucky,78.5%
Ohio,78.3%
Delaware,78.3%
Kansas,78.1%
Nevada,77.8%
California,77.8%
Texas,77.7%
West Virginia,77.3%
Florida,77.3%
Massachusetts,77.1%
Pennsylvania,76.8%
Alaska,76.8%
Louisiana,76.3%
Tennessee,76.2%
New York,76.2%
Mississippi,75.9%
North Carolina,74.3%
