Year,GDP in billion international dollars
2021*,2399.06
2020*,2244.77
2019,2454.81
2018,2405.5
2017,2329.69
2016,2249.11
2015,2197.64
2014,2158.2
2013,2119.08
2012,2121.6
2011,2145.63
2010,2086.97
2009,2028.18
2008,2125.06
2007,2104.76
2006,2019.66
2005,1925.85
2004,1852.53
2003,1778.64
2002,1743.8
2001,1712.29
2000,1643.47
1999,1548.88
1998,1502.41
1997,1459.27
1996,1408.75
1995,1366.11
1994,1303.09
1993,1249.92
1992,1231.28
1991,1195.2
1990,1139.7
1989,1077.23
1988,1003.94
1987,932.18
1986,882.61
1985,842.37
1984,795.69
