Response,Share of respondents
Vietnam,70%
Venezuela,67%
Chile,60%
Morocco,56%
Peru,54%
Argentina,50%
Pakistan,50%
China,47%
Colombia,46%
Taiwan,46%
Egypt,46%
Philippines,46%
India,43%
Ecuador,43%
Saudi Arabia,41%
Bahrain,40%
Poland,40%
Algeria,39%
Mexico,36%
United Arab Emirates,36%
Portugal,34%
Ukraine,34%
Thailand,32%
Russia,32%
Turkey,32%
Ireland,31%
Israel,31%
Greece,31%
Belgium,30%
Singapore,30%
Kenya,29%
Malaysia,29%
Netherlands,29%
Norway,29%
Italy,28%
South Africa,28%
Hongkong,27%
United Kingdom,27%
United States,26%
Switzerland,25%
Sweden,24%
Australia,21%
Denmark,19%
Canada,19%
South Korea,19%
Spain,14%
Indonesia,12%
Germany,11%
Japan,10%
Austria,8%
France,8%
