Response,Share of respondents
Fashion,53%
Shoes and accessories,39%
Smartphones and tablets,35%
Home electronics and appliances,35%
Toys,35%
Video games and games consoles,27%
Health and beauty,26%
"Sport (gym wear, equipment, water sports, etc.)",20%
"Leisure (events, books, music, restaurants, etc.)",18%
Home items,14%
Food and drink,9%
Baby products,9%
Travel (flights and hotels),8%
Relax products,6%
Education,4%
Automobile and accessories,4%
Bicycles and accessories,4%
Motorbikes and accessories,4%
Other product or services,3%
