Pharmaceutical company,Indicator score from 1 (lowest) to 5 (highest)
Sanofi,5.0
GlaxoSmithKline plc,4.54
Novo Nordisk A/S,4.54
Novartis AG,4.43
Eisai Co. Ltd.,4.04
Merck KGaA,3.91
Pfizer Inc.,3.62
Merck & Co. Inc.,3.58
Bayer AG,3.33
Johnson & Johnson,3.1
Bristol-Myers Squibb Co.,3.05
AstraZeneca plc,2.87
Gilead Sciences Inc.,2.87
Roche Holding Ltd.,2.87
Eli Lilly & Co.,2.83
AbbVie Inc.,2.6
Takeda Pharamceutical Co.,2.43
Boehringer-Ingelheim GmbH,2.02
Astellas Pharma Inc.,1.27
Daiichi Sankyo Co. Ltd.,1.21
