Sovereign wealth fund,Managed assets in billion U.S. dollars
Norway Government Pension Fund Global (Norway),1186.67
China Investment Corporation (China),940.6
Abu Dhabi Investment Authority (UAE),579.62
Kuwait Investment Authority (Kuwait),533.65
Hong Kong Monetary AuthorityInvestment Portfolio (China - Hong Kong),528.05
GIC Private Limited (Singapore),453.2
SAFE Investment Company (China)*,417.84
Temasek Holdings (Singapore)*,375.38
Public Investment Fund,360.0
National Council for Social Security Fund (China),325.0
