Year,Number of inhabitants in thousand
1st arrondissement (Louvre),16338
2nd arrondissement (Bourse),20410
3rd arrondissement (Temple),35469
4th arrondissement (Hôtel-de-Ville),27795
5th arrondissement (Panthéon),59947
6th arrondissement (Luxembourg),41831
7th arrondissement (Palais-Bourbon),53415
8th arrondissement (Elysée),37053
9th arrondissement (Opéra),60235
10th arrondissement (Entrepôt),92660
11th arrondissement (Popincourt),148339
12th arrondissement (Reuilly),142661
13th arrondissement (Gobelins),183117
14th arrondissement (Observatoire),138218
15th arrondissement (Vaugirard),235469
16th arrondissement (Passy),167706
17th arrondissement (Batignolles-Monceau),169375
18th arrondissement (Butte-Montmartre),196143
19th arrondissement (Buttes-Chaumont),187760
20th arrondissement (Ménilmontant),196884
