Response,Percentage of respondents
"Lack of employee engagement (i.e., low paticipation or interest in programs)",57%
Too many other demands on employees,34%
Lack of evidience about which practices work best,23%
Lack of adequate budget to support effective health management programs,22%
Lack of sufficient financial incentives to encourage participation in programs,20%
Lack of organizational structure to support it,18%
Not enought time on the part of the employees,18%
Lack of adequate internal staff,17%
Lack of senior management support,16%
Lack of appropriate tools to be succesful,16%
Poor or inadequate communication of health management programs,13%
Lack of actionable data,13%
"Poor coordination with partners (e.g., vendors, health plan)",9%
Regulatory limitations and uncertainty surrounding wellness incentives,5%
