Year,Temperature anomaly in degrees celsius
2019,2.02
2018,2.12
2017,1.74
2016,1.87
2015,1.89
2014,2.22
2013,1.42
2012,1.39
2011,1.57
2010,1.08
2009,1.5
2008,1.57
2007,1.66
2006,1.58
2005,1.19
2004,1.32
2003,1.48
2002,1.54
2001,1.3
2000,1.54
1999,1.45
1998,1.1
1997,1.06
1996,0.53
1995,0.96
1994,1.29
1993,0.52
1992,0.8
1991,0.75
1990,1.4
1989,1.31
1988,0.75
1987,0.27
1986,0.41
1985,0.07
1984,0.59
1983,0.7
1982,0.65
1981,0.39
1980,0.11
1979,0.31
1978,0.13
1977,0.47
1976,0.16
1975,0.77
1974,0.76
1973,0.36
1972,0.46
1971,0.41
1970,0.36
1969,0.11
1968,0.33
1967,0.48
1966,0.6
1965,0.07
1964,0.48
1963,0.22
1962,0.41
1961,1.11
1960,0.91
1959,0.85
1958,0.61
1957,0.77
1956,-0.22
1955,0.57
1954,0.4
1953,0.8
1952,0.57
1951,0.65
1950,0.83
1949,0.86
1948,0.74
1947,0.79
1946,0.78
1945,0.8
1944,0.6
1943,0.9
1942,-0.04
1941,-0.12
1940,-0.12
1939,0.77
1938,0.97
1937,1.07
1936,0.77
1935,0.67
1934,1.17
1933,0.23
1932,0.53
1931,0.19
1930,1.0
1929,0.12
1928,0.5
1927,0.52
1926,0.65
1925,0.4
1924,0.35
1923,0.34
1922,0.12
1921,0.57
1920,0.61
1919,-0.12
1918,0.37
1917,-0.23
1916,0.51
1915,-0.08
1914,0.39
1913,0.47
1912,0.03
1911,0.49
1910,0.43
1909,-0.02
1908,0.11
1907,-0.15
1906,0.3
1905,0.14
1904,0.16
1903,0.26
1902,-0.26
1901,0.36
1900,0.29
1899,0.33
1898,0.47
1897,0.36
1896,0.14
1895,0.07
1894,0.35
1893,-0.03
1892,-0.16
1891,0.0
1890,0.12
1889,0.01
1888,-0.63
1887,-0.16
1886,-0.02
1885,-0.14
1884,0.26
1883,0.15
1882,0.42
1881,-0.36
1880,0.2
1879,-0.4
1878,0.45
1877,-0.05
1876,0.06
1875,-0.4
1874,0.14
1873,0.47
1872,0.83
1871,-0.57
1870,-0.23
1869,0.27
1868,0.74
1867,-0.21
1866,0.42
1865,0.19
1864,-0.58
1863,0.94
1862,0.1
1861,0.27
1860,-0.36
1859,0.63
1858,-0.04
1857,0.37
1856,-0.15
1855,-0.71
1854,0.12
1853,-0.17
1852,0.46
1851,0.14
1850,-0.22
