Month,Number of downloads
"Oct 31, 2020",3628
"Oct 30, 2020",2328
"Oct 29, 2020",2328
"Oct 28, 2020",1993
"Oct 27, 2020",2158
"Oct 26, 2020",2459
"Oct 25, 2020",2847
"Oct 24, 2020",2906
"Oct 23, 2020",2608
"Oct 22 ,2020",2571
"Oct 21, 2020",2648
"Oct 20, 2020",2779
"Oct 19, 2020",2994
"Oct 18, 2020",2651
"Oct 17, 2020",2379
"Oct 16, 2020",2157
"Oct 15, 2020",2082
"Oct 14, 2020",2066
"Oct 13, 2020",2116
"Oct 12, 2020",2181
"Oct 11, 2020",2188
"Oct 10, 2020",2174
"Oct 9, 2020",2068
"Oct 8, 2020",1960
"Oct 7, 2020",1970
"Oct 6, 2020",2026
"Oct 5, 2020",2009
"Oct 4, 2020",2176
"Oct 3, 2020",2066
"Oct 2, 2020",1982
"Oct 1, 2020",2028
"Sep 30, 2020",2055
"Sep 29, 2020",2197
"Sep 28, 2020",2378
"Sep 27, 2020",2429
"Sep 26, 2020",2273
"Sep 25, 2020",1987
"Sep 24, 2020",2116
"Sep 23, 2020",2305
"Sep 22, 2020",2510
"Sep 21, 2020",2630
"Sep 20, 2020",2260
"Sep 19, 2020",2093
"Sep 18, 2020",2166
"Sep 17, 2020",2196
"Sep 16, 2020",2215
"Sep 15, 2020",2452
"Sep 14, 2020",2303
"Sep 13, 2020",2223
"Sep 12, 2020",2118
"Sep 11, 2020",2107
"Sep 10, 2020",2006
"Sep 9, 2020",2094
"Sep 8, 2020",2250
"Sep 7, 2020",2418
"Sep 6, 2020",2820
"Sep 5, 2020",2601
"Sep 4, 2020",2284
"Sep 3, 2020",2189
"Sep 2, 2020",2454
"Sep 1, 2020",3025
"Aug 31, 2020",2329
"Aug 30, 2020",2206
"Aug 29, 2020",1910
"Aug 28, 2020",1847
"Aug 27, 2020",1795
"Aug 26, 2020",1938
"Aug 25, 2020",1984
"Aug 24, 2020",1987
"Aug 23, 2020",1861
"Aug 22, 2020",1736
"Aug 21, 2020",1696
"Aug 20, 2020",1890
"Aug 19, 2020",1947
"Aug 18, 2020",1859
"Aug 17, 2020",1826
"Aug 16, 2020",1793
"Aug 15, 2020",1773
"Aug 14, 2020",1574
"Aug 13, 2020",1681
"Aug 12, 2020",1829
"Aug 11, 2020",1927
"Aug 10, 2020",2035
"Aug 9, 2020",2105
"Aug 8, 2020",2359
"Aug 7, 2020",2451
"Aug 6, 2020",2355
"Aug 5, 2020",2425
"Aug 4, 2020",2393
"Aug 3, 2020",2642
"Aug 2, 2020",2589
"Aug 1, 2020",2540
"Jul 31, 2020",2513
"Jul 30, 2020",2609
"Jul 29, 2020",2769
"Jul 28, 2020",2356
"Jul 27, 2020",2993
"Jul 26, 2020",2926
"Jul 25, 2020",2838
"Jul 24, 2020",2480
"Jul 23, 2020",2362
"Jul 22, 2020",2392
"Jul 21, 2020",2290
"Jul 20, 2020",2607
"Jul 19, 2020",2703
"Jul 18, 2020",2709
"Jul 17, 2020",2738
