Industry,Real value added in billion chained (2012) U.S. dollars
Information,91.85
"Finance, insurance, real estate, rental, and leasing",88.91
Government and government enterprises,63.72
Manufacturing,60.8
Professional and business services,58.87
Retail trade,49.14
"Educational services, health care, and social assistance",36.57
Wholesale trade,26.71
Construction,19.9
"Arts, entertainment, recreation, accommodation, and food services",18.55
Transportation and warehousing,14.02
"Agriculture, forestry, fishing, and hunting",10.1
Utilities,3.99
"Mining, quarrying, and oil and gas extraction",0.47
