Response,Share of respondents
My personal information being stolen by criminals hacking into large websites,84%
My personal information being lost by organisations not looking after it properly,79%
Nuisance and ‘cold’ calls,78%
Spam emails and texts,69%
The level of control I have over my personal information on social networks,59%
Mobile apps accessing information on my phone,54%
"Security services (MI5, MI6, GCHQ) having access to details of my telephone calls and internet browsing history",44%
Cookies on websites,43%
Use of my health records for research purposes,43%
Cloud computing,25%
