Type of Institution,Number of institutions
Total,3175
Comprehensive schools*,2187
Comprehensive school level special education schools,63
Upper secondary general schools,335
Comprehensive and upper secondary general level schools,42
Vocational institutes,84
Specialised vocational institutes,19
Special needs vocational institutes,5
Vocational adult education centres,10
"Fire, police and security service institutes",1
Military vocational institutes,6
Universities of applied sciences,25
Universities,13
Military academies,1
Music schools and colleges,84
Sports institutes,13
Folk high schools,73
Adult education centres,177
Summer universities,19
Study circle centres,12
Other educational institutions,6
