Year,Gross domestic product in billion international dollars
2021*,1141.48
2020*,1040.41
2019,1027.19
2018,953.29
2017,875.93
2016,805.92
2015,746.28
2014,696.35
2013,644.11
2012,591.24
2011,543.77
2010,513.84
2009,471.9
2008,463.02
2007,436.07
2006,398.31
2005,367.35
2004,340.01
2003,310.31
2002,290.23
2001,275.66
2000,262.16
1999,245.59
1998,234.86
1997,233.59
1996,218.31
1995,202.54
1994,189.52
1993,177.76
1992,170.04
1991,165.7
1990,161.21
1989,150.81
1988,136.64
1987,123.64
1986,115.67
1985,109.64
1984,114.65
