Pharmaceutical company,Indicator score from 1 (lowest) to 5 (highest)
GlaxoSmithKline plc,4.01
Merck KGaA,3.34
Novartis AG,3.34
Eisai Co. Ltd.,3.19
Roche Holding Ltd.,3.11
Sanofi,3.05
Novo Nordisk A/S,3.03
Takeda Pharamceutical Co.,3.03
Bristol-Myers Squibb Co.,2.71
Pfizer Inc.,2.69
Johnson & Johnson,2.68
Bayer AG,2.61
Merck & Co. Inc.,2.6
Astellas Pharma Inc.,2.49
AstraZeneca plc,2.36
Boehringer-Ingelheim GmbH,2.34
Eli Lilly & Co.,2.06
Gilead Sciences Inc.,1.98
AbbVie Inc.,1.59
Daiichi Sankyo Co. Ltd.,1.55
