business,R&D intensity
Tanvex Biopharma,"428,205.6%"
Obseva,"418,740.4%"
Clearside Biomedical,"227,544.1%"
Nantkwest,"113,655.4%"
TG Therapeutics,"104,862.5%"
Zai Lab,"93,239.4%"
Shanghai Junshi Bioscience,"18,380.6%"
Innovent Biologics,"12,142.7%"
Prothena,"10,495.1%"
Stemline Therapeutics,"9,445%"
Aurinia Pharmaceuticals,"8,863.3%"
Iterum Therapeutics,"7,841.1%"
Bellicum Pharma,"6,252.9%"
Idera Pharmaceuticals,"6,220.4%"
Selecta Biosciences,"5,181%"
Gritstone Oncology,"4,530.6%"
Clementia Pharmaceuticals,"4,129.5%"
Syndax Pharma,"3,962.2%"
Translate Bio,"3,958%"
Crispr Therapeutics,"3,541.9%"
Cstone Pharmaceuticals,"3,515.9%"
Kadmon Holdings,"3,507.6%"
Urogen Pharma,"3,274.3%"
Adverum Biotechnologies,"3,010%"
Hua Medicine,"2,947.4%"
Ardelyx,"2,661%"
Revance Therapeutics,"2,480.6%"
Syros Pharmaceuticals,"2,347.9%"
Medicines,"2,192.1%"
Ra Pharma,"2,074%"
Ocular,"1,855%"
Foamix Pharmaceuticals,"1,793.4%"
Proteostasis Therapeutics,"1,671.5%"
Xeris Pharmaceuticals,"1,553.3%"
Insmed,"1,477.2%"
Synlogic,"1,409.3%"
Ascendis Pharma,"1,318%"
Gw Pharmaceuticals,"1,202.6%"
Homology Medicines,"1,201.5%"
Abeona Therapeutics,"1,197.5%"
La Jolla Pharmaceutical,"1,166.5%"
Vbi Vaccines,"1,146.6%"
Zealand Pharma,"1,106.2%"
Achaogen,"1,088.6%"
Fate Therapeutics,"1,081.9%"
Anaptysbio,"1,023.9%"
Advaxis,939.6%
Corbus Pharmaceuticals Holdings,908.1%
Arbutus Biopharma,874.5%
Wave Life Sciences,832.6%
