industry classification,Employment in thousands
Wholesale and retail trade,2841.8
Health care and social assistance,2489.7
Manufacturing,1733.1
"Professional, scientific and technical services",1555.7
Construction,1463.1
Educational services,1370.4
Accommodation and food services,1215.7
"Finance, insurance, real estate, rental and leasing",1208.4
Transportation and warehousing,1037.9
Public administration,1012.8
Other services (except public administration),817.4
"Business, building and other support services",776.3
"Information, culture and recreation",774.0
"Forestry, fishing, mining, quarrying, oil and gas",332.5
Agriculture,287.6
Utilities,139.1
