Year,Acquired points
Bayern München,3793
Borussia Dortmund,2894
Werder Bremen,2866
Hamburger SV,2733
VfB Stuttgart,2671
Bor. Mönchengladbach,2642
FC Schalke 04,2520
Eintracht Frankfurt,2349
1. FC Köln,2340
Bayer Leverkusen,2210
1. FC Kaiserslautern,2094
Hertha BSC,1686
VfL Bochum,1374
1. FC Nürnberg,1318
Hannover 96,1174
MSV Duisburg,1147
VfL Wolfsburg,1110
Fortuna Düsseldorf,1024
Karlsruher SC,953
Eintracht Braunschweig,903
TSV 1860 München,884
SC Freiburg,814
Arminia Bielefeld,605
1. FSV Mainz 05,602
1899 Hoffenheim,569
KFC Uerdingen 05,543
Hansa Rostock,479
FC Augsburg,370
Waldhof Mannheim,285
Kickers Offenbach,282
RB Leipzig,276
Rot-Weiss Essen,262
FC St. Pauli,254
Energie Cottbus,211
Alemannia Aachen,157
SG Wattenscheid 09,150
1. FC Saarbrücken,144
Dynamo Dresden,140
Rot-Weiß Oberhausen,139
SV Darmstadt 98,117
Wuppertaler SV,102
Borussia Neunkirchen,93
FC 08 Homburg,90
SpVgg Unterhaching,79
Stuttgarter Kickers,77
FC Ingolstadt 04,72
1. FC Union Berlin,58
SC Paderborn,51
TeBe Berlin,49
SSV Ulm 1846,35
Fortuna Köln,33
Preußen Münster,30
SpVgg Greuther Fürth,21
SV Blau Weiss Berlin,21
FC Lok Leipzig,20
Tasmania Berlin,10
