Metropolitan Area,Percent change form preceding period
"Midland, TX",21.9%
"San Jose-Sunnyvale-Santa Clara, CA",10.1%
"Seattle-Tacoma-Bellevue, WA",6.9%
"Las Vegas-Henderson-Paradise, NV",6.1%
"Raleigh-Cary, NC",5.9%
"Austin-Round Rock-Gerogetown, TX",5.6%
"San Francisco-Oakland-Berkeley, CA",5.1%
"Boise City, ID",4.8%
"San Antonio-New Braunfels, TX",4.6%
"Phoenix-Mesa-Chandler, AZ",4.5%
"Portland-Vancouver-Hillsboro, OR-WA",4.4%
"Stockton, CA",4.4%
"Fresno, CA",4.4%
"North Port-Sarasota-Bradenton, FL",4.3%
"Nashville-Davidson-Murfreesboro-Franklin, TN",4.2%
"Santa Rosa-Petaluma, CA",4.2%
"Orlando-Kissimmee-Sanford, FL",4.1%
"San Diego-Chula Vista-Carlsbad, CA",4.1%
"Baton Rouge, LA",4.1%
"Dallas-Fort Worth-Arlington, TX",3.9%
"Santa Maria-Santa Barbara, CA",3.7%
"Denver-Aurora-Lakewood, CO",3.7%
"Charleston-North Charleston, SC",3.6%
"Tampa-St. Petersburg-Clearwater, FL",3.6%
"Tucson, AZ",3.6%
"Sacramento-Roseville-Folsom, CA",3.5%
"Grand Rapids-Kentwood, MI",3.5%
"Boston-Cambridge-Newton, MA-NH",3.4%
"Salt Lake City, UT",3.4%
"Durham-Chapel Hill, NC",3.4%
"Greenville-Anderson, SC",3.3%
"Wichita, KS",3.3%
"Riverside-San Bernardino-Ontario, CA",3.3%
"Cape Coral-Fort Myers, FL",3.2%
"Colorado Springs, CO",3.2%
"El Paso, TX",3.2%
"Birmingham-Hoover, AL",3.2%
"Los Angeles-Long Beach-Anaheim, CA",3.1%
"Tulsa, OK",3.1%
"Oklahoma City, OK",3.1%
"Pittsburgh, PA",3%
"Houston-The Woodlands-Sugar Land, TX",3%
"St. Louis, MO-IL",3%
"Jacksonville, FL",2.9%
"Miami-Fort Lauderdale-Pompano Beach, FL",2.9%
"Knoxville, TN",2.8%
"Washington-Arlington-Alexandria, DC-VA-MD-WV",2.7%
"Minneapolis-St.Paul-Bloomington, MN-WI",2.6%
"Baltimore--Columbia-Towson, MD",2.6%
"Portland-South Portland, ME",2.6%
"Lancaster, PA",2.6%
"Chattanooga, TN-GA",2.6%
"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD",2.5%
"Harrisburg-Carlisle, PA",2.5%
"Atlanta-Sandy Springs-Alpharetta, GA",2.5%
"Toledo, OH",2.4%
"Allentown-Bethlehem-Easton, PA-NJ",2.4%
"Scranton--Wilkes-Barre, PA",2.3%
"Memphis, TN-MS-AR",2.3%
"Madison, WI",2.3%
"Detroit-Warren-Dearborn, MI",2.3%
"Trenton-Princeton, NJ",2.3%
"Milwaukee-Waukesha, WI",2.3%
"Virginia Beach-Norfolk-Newport News, VA-NC",2.2%
"New Orleans-Metairie, LA",2.2%
"Worcester, MA-CT",2.2%
"Charlotte-Concord-Gastonia, NC-SC",2.1%
"Indianapolis-Carmel-Anderson, IN",2.1%
"Albuquerque, NM",2.1%
"Little Rock-North Little Rock-Conway, AR",2.1%
"Kansas City, MO-KS",2%
"Urban Honolulu, HI",2%
"Cleveland-Elyria, OH",1.9%
"Columbus, OH",1.9%
"Chicago-Naperville-Elgin, IL-IN-WI",1.9%
"Richmond, VA",1.9%
"Dayton-Kettering, OH",1.9%
"Poughkeepsie-Newburgh-Middletown, NY",1.8%
"Des Moines-West Des Moines, IA",1.8%
"Cincinnati, OH-KY-IN",1.7%
"Louisville/Jefferson County, KY-IN",1.7%
"Akron, OH",1.7%
"New Haven-Milford, CT",1.7%
"New York-Newark-Jersey City, NY-NJ-PA",1.6%
"Springfield, MA",1.5%
"Greensboro-High Point, NC",1.5%
"Oxnard-Thousand Oaks-Ventura, CA",1.3%
"Providence-Warwick, RI-MA",1.2%
"Columbia, SC",1.1%
"Lexington-Fayette, KY",1%
"Omaha-Council Bluffs, NE-IA",1%
"Buffalo-Cheektowaga, NY",1%
"Syracuse, NY",0.8%
"Beaumont-Port Arthur, TX",0.6%
"Albany-Schenectady-Troy, NY",0.5%
"Rochester, NY",0.4%
"Bridgeport-Stamford-Norwalk, CT",0.4%
"Winston-Salem, NC",0.1%
"Hartford-East Hartford-Middletown, CT",-0.4%
"Bakersfield, CA",-0.7%
