Clubs with most games played in the UEFA Europa League,Games played
PC Intemazionale Milano,187
Sporting Clube de Portugal,185
Club Brugge,180
Sevilla FC,141
Tottenham Hotspur,140
PSV Eindhoven,155
RSC Anderlecht,154
AFC Ajax,143
Juventus,120
FC Girondins de Bordeaux,142
Valencia CF,133
Liverpool FC,124
SS Lazio,137
AZ Alkmaar,136
AS Rama,130
VfB Stuttgart,132
SL Benfica,128
Club Atletieo de Madrid,117
Hamburger SV,124
Athletic Club,136
FCSB,142
Feyenoord,139
FK Crvena zvezdo,140
PAOK FC,142
Villarreal CF,112
