State,Number of larceny thefts
California,626802
Texas,501813
Florida,358402
New York,226851
Georgia,188967
Illinois,180776
Ohio,177725
North Carolina,174728
Washington,145282
Pennsylvania,143921
Tennessee,132104
Arizona,130788
Virginia,116044
Missouri,114460
Michigan,111980
Louisiana,109359
South Carolina,108953
Colorado,107012
Indiana,97176
Alabama,92477
New Jersey,91902
Minnesota,90092
Maryland,89780
Oregon,85261
Oklahoma,72632
Wisconsin,65620
Massachusetts,62844
Arkansas,60735
Kentucky,59130
Utah,53937
Kansas,50165
Mississippi,46300
Nevada,44755
New Mexico,41702
Connecticut,38457
Iowa,37847
Nebraska,29719
Hawaii,29634
District of Columbia,26645
West Virginia,20066
Montana,18176
Delaware,17359
Idaho,16295
Alaska,15114
New Hampshire,13832
Maine,13667
Rhode Island,12580
South Dakota,11265
North Dakota,10666
Vermont,7315
Wyoming,6984
