Response,Percentage of respondents who paid bribe
Sierra Leone,84%
Liberia,75%
Yemen,74%
Kenya,70%
Cameroon,62%
Libya,62%
Mozambique,62%
Zimbabwe,62%
Uganda,61%
Senegal,57%
Cambodia,57%
Tanzania,56%
Ghana,54%
India,54%
Morocco,49%
South Africa,47%
Democratic Republic of the Congo,46%
Afghanistan,46%
Mongolia,45%
Kyrgyzstan,45%
Ethiopia,44%
Nigeria,44%
Algeria,41%
South Sudan,39%
Bangladesh,39%
Jordan,37%
Ukraine,37%
Egypt,36%
Indonesia,36%
Taiwan,36%
Bolivia,36%
Pakistan,34%
Solomon Islands,34%
Kazakhstan,34%
Mexico,33%
Nepal,31%
Vietnam,30%
Moldova,29%
Iraq,29%
Bosnia and Herzegovina,28%
Madagascar,28%
Venezuela,27%
Global,27%
Papua New Guinea,27%
Lithuania,26%
Serbia,26%
Paraguay,25%
Colombia,22%
Greece,22%
Slovakia,21%
Turkey,21%
Peru,20%
Sri Lanka,19%
Latvia,19%
Cyprus,19%
Armenia,18%
Tunisia,18%
Thailand,18%
Macedonia (FYR),17%
Sudan,17%
Romania,17%
Kosovo,16%
Czech Republic,15%
Argentina,13%
Vanuatu,13%
Rwanda,13%
Hungary,12%
Israel,12%
Jamaica,12%
Palestine,12%
Philippines,12%
El Salvador,12%
Chile,10%
Bulgaria,8%
Switzerland,7%
United States,7%
Estonia,6%
Slovenia,6%
United Kingdom,5%
Italy,5%
Georgia,4%
Croatia,4%
Belgium,4%
South Korea,3%
Norway,3%
Canada,3%
Uruguay,3%
Maldives,3%
New Zealand,3%
Portugal,3%
Malaysia,3%
Spain,2%
Australia,1%
Japan,1%
Finland,1%
Denmark,1%
