State,Share enrolled
Rhode Island,72.2%
District of Columbia,69.4%
Massachusetts,60.3%
Vermont,58.5%
New Hampshire,57.3%
New York,56.5%
North Dakota,56.3%
Maryland,55.2%
Nebraska,54.9%
Connecticut,54.7%
Delaware,54.2%
Pennsylvania,53%
California,52.1%
Minnesota,51.8%
Illinois,51%
Iowa,50.8%
New Jersey,50.4%
Wisconsin,50.1%
Michigan,49.5%
Montana,49.4%
Virginia,49%
Kansas,48.9%
Colorado,48.7%
North Carolina,48.2%
Maine,48.1%
Wyoming,47.7%
U.S. Average,47.6%
South Dakota,46.5%
Hawaii,46.5%
West Virginia,45.6%
Ohio,45%
Alabama,44.7%
Utah,44.6%
Oregon,44.4%
Indiana,44.1%
South Carolina,42.9%
Florida,42.8%
Washington,42.6%
Missouri,42.5%
Tennessee,42.5%
Mississippi,42.2%
Arizona,42.1%
Georgia,41.8%
Texas,40.6%
Arkansas,40.6%
Oklahoma,39.8%
New Mexico,39.2%
Idaho,38.8%
Louisiana,38.2%
Kentucky,35.8%
Nevada,31.1%
Alaska,28.9%
