National team managers at the 2014 soccer World Cup in Brazil,Yearly earnings in million U.S. dollars
Fabio Capello (Russia),11.23
Roy Hodgson (England),5.87
Cesare Prandelli (Italy),4.32
Luiz Felipe Scolari (Brazil),3.97
Ottmar Hitzfeld (Switzerland),3.74
Joachim Löw (Germany),3.6
Vicente del Bosque (Spain),3.38
Louis van Gaal (Holland),2.74
Alberto Zaccheroni (Japan),2.73
Jürgen Klinsmann (USA),2.62
Didier Deschamps (France),2.16
Paulo Bento (Portugal),2.16
Carlos Queiroz (Iran),2.1
Jorge Sampaoli (Chile),1.77
Jose Pekerman (Colombia),1.68
Ange Postecoglou (Australia),1.39
Oscar Tabarez (Uruguay),1.26
Sabri Lamouchi (Ivory Coast),1.04
Vahid Halihodzic (Algeria),1.01
Marc Wilmots (Belgium),0.86
Fernando Santos (Greece),0.86
Alejandro Sabella (Argentina),0.82
Hong Myung-Bo (South Korea),0.79
Luis Fernando Suarez (Honduras),0.63
Reinaldo Rueda (Ecuador),0.57
Jorge Luis Pinto (Costa Rica),0.44
Volker Finke (Cameroon),0.39
Stephen Keshi (Nigeria),0.39
Safet Susic (Bosnia),0.35
Niko Kovac (Croatia),0.27
James Kwesi Appiah (Ghana),0.25
Miguel Herrera (Mexico),0.21
