Month,House price index (2015=100)
Aug' 20,128.23
Jul '20,128.23
Jun '20,128.23
May '20,128.23
Apr '20,128.23
Mar '20,127.34
Feb '20,127.34
Jan '20,127.34
Dec '19,124.98
Nov '19,124.98
Oct '19,124.98
Sep '19,126.54
Aug '19,126.54
Jul '19,126.54
Jun '19,123.02
May '19,123.02
Apr '19,123.02
Mar '19,121.86
Feb '19,121.86
Jan '19,121.86
Dec '18,124.5
Nov '18,124.5
Oct '18,124.5
Sep '18,121.97
Aug '18,121.97
Jul '18,121.97
Jun '18,118.6
May '18,118.6
Apr '18,118.6
Mar '18,116.4
Feb '18,116.4
Jan '18,116.4
Dec '17,115.41
Nov '17,115.41
Oct '17,115.41
Sep '17,115.99
Aug '17,115.99
Jul '17,115.99
Jun '17,113.58
May '17,113.58
Apr '17,113.58
Mar '17,110.78
Feb '17,110.78
Jan '17,110.78
Dec '16,112.69
Nov '16,112.69
Oct '16,112.69
Sep '16,112.38
Aug '16,112.38
Jul '16,112.38
Jun '16,112.79
May '16,112.79
Apr '16,112.79
Mar '16,105.01
Feb '16,105.01
Jan '16,105.01
Dec '15,106.93
Nov '15,106.93
Oct '15,106.93
Sep '15,106.77
Aug '15,106.77
Jul '15,106.77
Jun '15,102.5
May '15,102.5
Apr '15,102.5
Mar '15,100.0
Feb '15,100.0
Jan '15,100.0
