Country,Number of tests
Brazil,28600000
Colombia,8238961
Chile,6577973
Peru,5555591
Argentina,4919347
Mexico,3670800
Venezuela,2417898
Cuba,1513264
Panama,1332023
Dominican Republic,879918
Ecuador,755929
Uruguay,654191
Guatemala,642654
El Salvador,631180
Paraguay,565803
Costa Rica,495225
Bolivia,421980
Honduras,308510
Jamaica,139878
Trinidad and Tobago,72623
Barbados,70257
Belize,59978
Bahamas,52840
Haiti,42080
Guyana,38622
Suriname,27235
Saint Lucia,19814
Grenada,6781
Antigua and Barbuda,6651
Dominica,6618
Saint Kitts and Nevis,5593
