war,Number of military deaths
Malaya  (1948-1960),1442
Northern Ireland (1969-2007),1441
Korea (1950-54),1129
Palestine  (1945-48),754
Afghanistan (2001-present),457
Suez  (1951-54),405
Cyprus  (1955-59),358
Falklands  (1982),237
Iraq  (2003-2011),178
South Arabia  (1964-67),160
Borneo  (1962-66),140
Kenya (1952-56),95
Balkans (1992-present),72
Arabian Peninsular  (1957-60),60
Yangtze  (1949),45
Gulf  (1990-91),45
Malay Peninsula  (1964-66),39
Dhofar  (1969-76),25
Berlin Airlift  (1948-49),25
Near East/Suez (1956),24
Radfan  (1964),13
Cyprus (1964-present),13
Brunei (1962),7
Air Operations Iraq  (1991-2003),7
Rhodesia  (1979-1980),5
Sierra Leone  (2000-2002),5
Iraq & Syria (2014-present),3
Congo  (1960-64),2
Cambodia  (1991-1993),1
Libya  (2011),1
Malawi (2019-present),1
