Year,GDP in billion international dollars
2021*,2417.19
2020*,2257.99
2019,2361.78
2018,2299.75
2017,2183.34
2016,1994.01
2015,1912.68
2014,1784.37
2013,1665.88
2012,1509.02
2011,1412.94
2010,1245.6
2009,1134.93
2008,1181.94
2007,1149.68
2006,1065.98
2005,965.99
2004,859.38
2003,763.24
2002,709.53
2001,656.28
2000,682.91
1999,626.39
1998,639.14
1997,613.06
1996,560.48
1995,514.36
1994,470.0
1993,486.73
1992,440.08
1991,405.97
1990,389.09
1989,343.28
1988,329.5
1987,311.66
1986,276.42
1985,253.38
1984,235.58
