Month,Producer Price Index (2010=100)
Apr '19,117.7
Mar '19,116.8
Feb '19,117.6
Jan '19,117.2
Dec '18,117.4
Nov '18,116.7
Oct '18,117.3
Sep '18,117.9
Aug '18,117.1
Jul '18,116.4
Jun '18,115.9
May '18,115.4
Apr '18,113.5
Mar '18,113.0
Feb '18,112.8
Jan '18,112.2
Dec '17,12.4
Nov '17,112.0
Oct '17,111.1
Sep '17,110.9
Aug '17 **,111.3
Jul '17 **,110.1
Jun '17,110.1
May '17,109.4
Apr '17,109.0
Mar '17,109.2
Feb '17,109.2
Jan '17,109.0
Dec '16,107.5
Nov '16,107.1
Oct '16,107.5
Sep '16,104.3
Aug '16,104.5
Jul '16,104.5
Jun '16,100.2
May '16,99.5
Apr '16,99.2
Mar '16,98.4
Feb '16,98.2
Jan '16,97.6
Dec '15,97.3
Nov '15,96.2
Oct '15,97.7
Sep '15,99.0
Aug '15,98.4
