Month,Price in GBP per head
Nov '19,0.53
Oct '19,0.54
Sep '19,0.53
Aug '19,0.54
Jul '19,0.59
Jun '19,0.58
May '19,0.32
Apr '19,0.48
Mar '19,0.49
Feb '19,0.5
Jan '19,0.49
Dec '18,0.46
Nov '18,0.46
Oct '18,0.46
Sep '18,0.48
Aug '18,0.51
Jul '18,0.62
Jun '18,0.51
May '18,0.38
Apr '18,0.41
Mar '18,0.43
Feb '18,0.42
Jan '18,0.39
Dec '17,0.42
Nov '17,0.4
Oct '17,0.41
Sep '17,0.42
Aug '17,0.42
Jul '17,0.46
Jun '17,0.48
Apr '17,0.38
Mar '17,0.41
Feb '17,0.4
Jan '17,0.4
Dec '16,0.43
Nov '16,0.44
Oct '16,0.45
Sep '16,0.45
Aug '16,0.42
Jul '16,0.47
Jun '16,0.5
May '16,0.4
Apr '16,0.38
Mar '16,0.38
Feb '16,0.37
Jan '16,0.37
Dec '15,0.37
Nov '15,0.39
Oct '15,0.38
Sep '15,0.4
Aug '15,0.41
Jul '15,0.44
Jun '15,0.5
May '15,0.39
Apr '15,0.42
Mar '15,0.39
Feb '15,0.37
Jan '15,0.35
