industry,Average expenditure in Canadian dollars
Shelter,15744
Income taxes,14878
Transportation,13232
Food expenditures,8379
Personal insurance payments and pension contributions,5707
Household operations,4548
Recreation,4009
Clothing and accessories,3292
Health care,2497
"Gifts of money, support payments and charitable contributions",2464
Household furnishings and equipment,2381
Miscellaneous expenditures,2062
Education,1635
Tobacco products and alcoholic beverages,1230
Personal care,1156
Games of chance,288
Reading materials and other printed matter,170
