Response,Share of people
Maine,77.1%
Mississippi,72.9%
Michigan,71.2%
North Dakota,70.9%
Kentucky,70.9%
Minnesota,70.8%
Missouri,70.6%
Wisconsin,70.5%
Montana,70.4%
District of Columbia,70%
Iowa,69.8%
Oregon,69.1%
Ohio,68.3%
Vermont,68.1%
Kansas,67.4%
New Hampshire,67.2%
Washington,66.7%
Alabama,66.4%
Maryland,66.3%
South Dakota,66.2%
Louisiana,65.4%
North Carolina,65.2%
Pennsylvania,65.2%
Virginia,65.1%
Alaska,64.4%
Rhode Island,64.2%
Utah,64.2%
West Virginia,63.4%
Indiana,62.5%
Wyoming,62.4%
Illinois,62.4%
Delaware,62.4%
South Carolina,62.1%
Oklahoma,62%
Nebraska,61.9%
Georgia,61.7%
Massachusetts,61.3%
New Jersey,61.3%
United States,61.3%
Tennesee,61.2%
Connecticut,60.9%
Colorado,60.8%
Arizona,60.8%
New Mexico,58.1%
Idaho,57.2%
Florida,56%
Arkansas,55.8%
New York,55.3%
Texas,55.2%
Nevada,55%
California,51.9%
Hawaii,49.5%
