Country,Index score
Norway,92.73
Denmark,92.11
Finland,91.89
New Zealand,91.64
Sweden,91.62
Switzerland,91.42
Canada,91.4
Australia,91.29
Iceland,91.09
Netherlands,91.06
Germany,90.56
Ireland,90.35
Japan,90.14
Luxembourg,89.56
Austria,89.5
Belgium,89.46
"Korea, Republic of",89.06
France,88.78
Spain,88.71
United Kingdom,88.54
Portugal,87.79
Slovenia,87.71
Italy,87.36
Estonia,87.26
Czech Republic,86.69
Cyprus,86.64
Greece,85.78
United States,85.71
Singapore,85.46
Malta,84.89
Poland,84.32
Lithuania,83.97
Israel,83.62
Chile,83.34
Latvia,83.19
Slovakia,83.15
Costa Rica,83.01
Uruguay,82.99
Croatia,81.92
Hungary,81.02
Argentina,80.66
Barbados,80.5
Bulgaria,79.86
Mauritius,78.96
Romania,78.35
Kuwait,77.47
Belarus,77.0
Malaysia,76.96
Panama,76.55
Armenia,76.46
