Month,Price in GBP per kilogram
Nov '19,1.42
Oct '19,1.33
Sep '19,1.36
Aug '19,1.22
Jul '19,1.21
Jun '19,1.3
May '19,1.55
Mar '19,0.56
Feb '19,0.72
Jan '19,0.82
Dec '18,0.94
Nov '18,1.06
Oct '18,1.23
Sep '18,1.11
Aug '18,1.12
Jul '18,1.03
Jun '18,1.53
May '18,2.0
Apr '18,0.6
Mar '18,0.72
Feb '18,0.74
Jan '18,0.8
Dec '17,0.79
Nov '17,0.82
Oct '17,0.94
Sep '17,1.05
Aug '17,1.0
Jul '17,0.85
Jun '17,1.17
May '17,1.32
Apr '17,0.92
Mar '17,0.97
Feb '17,0.98
Jan '17,0.97
Dec '16,1.02
Nov '16,0.94
Oct '16,0.91
Sep '16,0.9
Aug '16,0.92
Jul '16,0.89
Jun '16,0.95
May '16,1.16
Apr '16,1.06
Mar '16,0.77
Feb '16,0.97
Jan '16,0.93
Dec '15,0.93
Nov '15,0.86
Oct '15,0.9
Sep '15,1.0
Aug '15,1.0
Jul '15,0.98
Jun '15,0.77
May '15,0.72
Apr '15,1.02
Mar '15,0.78
Feb '15,0.52
Jan '15,0.92
