company,Turnover in million SEK
GE Healthcare Bio-Sciences AB,15104
GE Healthcare BioProcess R&D AB,6334
Upplands Motor Holding AB,5123
Beijer Alma AB,4409
Fresenius Kabi AB,4064
Phadia AB,3783
Jötagruppen AB,3140
Uppsala Stadshus AB,3047
Stora Enso Pulp AB,2103
Erasteel Kloster AB,1373
Lars Svensson Holding AB,1289
Q-Med AB,1070
Didner & Gerge Fonder AB,957
Biotage AB,911
Orexo AB,783
Madhat AB,633
Sallén Förvaltning AB,628
Relita Industri & Skadeservice AB,591
Angel Fall AB,589
Mellansvenska Logistiktransporter AB,568
