Industry,GDP in million chained 2012 Canadian dollars
Real estate and rental and leasing,262486
Manufacturing,186802
Finance and insurance,144871
Construction,138309
Health care and social assistance,134997
Public administration,134948
"Mining, quarrying, and oil and gas extraction",134062
"Professional, scientific and technical services",119450
Wholesale trade,103647
Retail trade,102858
Educational services,102572
Transportation and warehousing,70825
Information and cultural industries,64593
"Administrative and support, waste management and remediation services",46789
"Agriculture, forestry, fishing and hunting",46418
Utilities,42068
Other services (except public administration),35215
Accommodation and food services,29814
"Arts, entertainment and recreation",9092
Management of companies and enterprises,6435
