Year,IBOVESPA in Brazilian reals
10/15/2020,99054
10/14/2020,99334
10/13/2020,98503
10/9/2020,97483
10/8/2020,97920
10/7/2020,95526
10/6/2020,95615
10/5/2020,96089
10/2/2020,94016
10/1/2020,95479
9/30/2020,94603
9/29/2020,93580
9/28/2020,94666
9/25/2020,96999
9/24/2020,97012
9/23/2020,95735
9/22/2020,97294
9/21/2020,96991
9/18/2020,98290
9/17/2020,100098
9/16/2020,99676
9/15/2020,100298
9/14/2020,100275
9/11/2020,98363
9/10/2020,98835
9/9/2020,101292
9/8/2020,100050
9/4/2020,101242
9/3/2020,100721
9/2/2020,101911
9/1/2020,102168
8/31/2020,99369
8/28/2020,102143
8/27/2020,100624
8/26/2020,100627
8/25/2020,102118
8/24/2020,102298
8/21/2020,101521
8/20/2020,101468
8/19/2020,100854
8/18/2020,102065
8/17/2020,99595
8/13/2020,100461
8/12/2020,102118
8/11/2020,102174
8/10/2020,103444
8/7/2020,102776
8/6/2020,104126
8/5/2020,102802
8/4/2020,101216
8/3/2020,102830
7/31/2020,102912
7/30/2020,105009
7/29/2020,105605
7/28/2020,104109
7/27/2020,104477
7/24/2020,102382
7/23/2020,102293
7/22/2020,104290
7/21/2020,104310
7/20/2020,104426
7/17/2020,102888
7/16/2020,100553
7/15/2020,101791
7/14/2020,100440
7/13/2020,98697
7/10/2020,100032
7/9/2020,99160
7/8/2020,99770
7/7/2020,97761
7/6/2020,98937
7/3/2020,96765
7/2/2020,96235
7/1/2020,96203
6/30/2020,95056
6/29/2020,95735
6/26/2020,93834
6/25/2020,95983
6/24/2020,94377
6/23/2020,95975
6/22/2020,95336
6/19/2020,96572
6/18/2020,96125
6/17/2020,95547
6/16/2020,93531
6/15/2020,92376
6/12/2020,92795
6/10/2020,94686
6/9/2020,96747
6/8/2020,97645
6/5/2020,94637
6/4/2020,93829
6/3/2020,93002
6/2/2020,91046
6/1/2020,88620
5/29/2020,87403
5/28/2020,86949
5/27/2020,87946
5/26/2020,85469
5/25/2020,85663
5/22/2020,82173
5/21/2020,83027
5/20/2020,81319
5/19/2020,80742
5/18/2020,81194
5/15/2020,77557
5/14/2020,79011
5/13/2020,77772
5/12/2020,77872
5/11/2020,79065
5/8/2020,80263
5/7/2020,78119
5/6/2020,79064
5/5/2020,79471
5/4/2020,78876
4/30/2020,80506
4/29/2020,83171
4/28/2020,81312
4/27/2020,78239
4/24/2020,75331
4/23/2020,79673
4/22/2020,80687
4/20/2020,78973
4/17/2020,78990
4/16/2020,77812
4/15/2020,78831
4/14/2020,79918
4/13/2020,78836
4/9/2020,77682
4/8/2020,78625
4/7/2020,76358
4/6/2020,74073
4/3/2020,69538
4/2/2020,72253
4/1/2020,70967
3/31/2020,73020
3/30/2020,74640
3/27/2020,73429
3/26/2020,77710
3/25/2020,74956
3/24/2020,69729
3/23/2020,63570
3/20/2020,67069
3/19/2020,68332
3/18/2020,66895
3/17/2020,74617
3/16/2020,71168
3/13/2020,82678
3/12/2020,72583
3/11/2020,85171
3/10/2020,92214
3/9/2020,86067
3/6/2020,97997
3/5/2020,102233
3/4/2020,107224
3/3/2020,105537
3/2/2020,106625
2/28/2020,104172
2/27/2020,102984
2/21/2020,113681
2/20/2020,114586
2/19/2020,116518
2/18/2020,114977
2/17/2020,115309
2/14/2020,114381
2/13/2020,115662
2/12/2020,116674
2/11/2020,115371
2/10/2020,112570
2/7/2020,113770
2/6/2020,115190
2/5/2020,116028
2/4/2020,115557
2/3/2020,114629
1/31/2020,113761
1/30/2020,115528
1/29/2020,115385
1/28/2020,116479
1/27/2020,114482
1/24/2020,118376
1/23/2020,119528
1/22/2020,118391
1/21/2020,117026
1/20/2020,118862
1/17/2020,118478
1/16/2020,116704
1/15/2020,116414
1/14/2020,117632
1/13/2020,117325
1/10/2020,115503
1/9/2020,115947
1/8/2020,116247
1/7/2020,116662
1/6/2020,116878
1/3/2020,117707
1/2/2020,118573
