Year,GDP per capita in U.S. dollars
2025*,9095.42
2024*,8658.3
2023*,8264.42
2022*,7747.8
2021*,7035.84
2020*,6557.51
2019*,7772.67
2018*,7996.96
2017,7585.49
2016,6958.35
2015,6538.62
2014,7497.69
2013,7007.25
2012,7710.8
2011,7503.96
2010,6374.99
2009,5183.69
2008,5641.18
2007,5676.26
2006,5352.87
2005,5338.24
2004,4840.81
2003,4119.41
2002,3017.72
2001,3090.26
2000,3301.21
1999,3173.69
1998,2841.93
1997,3025.7
1996,3006.15
1995,2984.19
1994,2755.72
1993,2629.78
1992,2684.21
1991,2673.59
1990,2750.81
1989,2584.23
1988,2398.68
1987,1915.11
1986,1267.15
1985,968.95
