Title (release date),Revenue in thousand U.S. dollars
Virtual Desktop (March 2016),2467.79
Vanishing Realms (April 2016),1973.12
Serious Sam VR: The Last Hope (September 2017),1508.92
Sairento VR (December 2016)*,956.46
The Talos Priciple VR (October 2017),827.48
Paranormal Activity the Lost Soul (August 2017),798.24
Doom VFR (December 2017),781.23
Batman: Arhkam VR (April 2017),681.44
Pavlov VR (February 2017),593.83
I Expect You To Die (April 2017),559.75
Dead Effect 2 VR (October 2017),541.5
QuiVr (December 2016),486.74
