Month,Price in British pounds per kilogram
Nov '19,0.5
Oct '19,0.55
Sep '19,0.61
Aug '19,0.64
Jul '19,0.84
Jun '19,0.96
May '19,0.74
Apr '19,0.64
Mar '19,0.48
Feb '19,0.44
Jan '19,0.44
Dec '18,0.43
Nov '18,0.47
Oct '18,0.46
Sep '18,0.51
Aug '18,0.52
Jul '18,0.37
Jun '18,0.32
May '18,0.33
Apr '18,0.33
Mar '18,0.33
Feb '18,0.32
Jan '18,0.33
Dec '17,0.34
Nov '17,0.35
Oct '17,0.29
Sep '17,0.3
Aug '17,0.31
Jul '17,0.32
Jun '17,0.36
May '17,0.37
Apr '17,0.35
Mar '17,0.35
Feb '17,0.32
Jan '17,0.32
Dec '16,0.3
Nov '16,0.32
Oct '16,0.32
Sep '16,0.33
Aug '16,0.32
Jul '16,0.33
Jun '16,0.32
May '16,0.35
Apr '16,0.34
Mar '16,0.32
Feb '16,0.3
Jan '16,0.31
Dec '15,0.31
Nov '15,0.32
Oct '15,0.34
Sep '15,0.41
Aug '15,0.48
Jul '15,0.56
Jun '15,0.49
May '15,0.36
Apr '15,0.29
Mar '15,0.28
Feb '15,0.26
Jan '15,0.26
