Response,Share of respondents
"Clothing, apparel, and fashion accessories",47.48%
Food and groceries (incl. non alcoholic beverages),42.23%
"Personal hygiene products (incl. toilet paper, hand sanitizer, and masks)",40.18%
Cosmetics and beauty products,33.73%
Household cleaning products,32.78%
Books and stationery,31.67%
Consumer technology and electronics,24.18%
"Toys, games and puzzles",17.28%
Furniture and household items,17.18%
Sports equipment and apparel,16.68%
Medication,13.95%
Pet food and related supplies,13.01%
"Movies, music and television entertainment",12%
Hobby and arts and craft supplies,7.77%
Alcoholic beverages,7.53%
Others,5.58%
