Industry,Real value added in billion chained (2012) U.S. dollars
"Finance, insurance, real estate, rental, and leasing",165.78
Professional and business services,112.06
Manufacturing,99.64
Government and government enterprises,72.02
"Educational services, health care, and social assistance",68.05
Wholesale trade,58.73
Retail trade,43.01
Information,34.31
Transportation and warehousing,30.17
"Arts, entertainment, recreation, accommodation, and food services",29.04
Construction,22.6
Utilities,12.7
"Agriculture, forestry, fishing, and hunting",7.43
"Mining, quarrying, and oil and gas extraction",2.18
