Month,Employment rate
Oct 20,75.2%
Sep 20,75.3%
Aug 20,75.6%
Jul 20,75.8%
Jun 20,75.8%
May 20,75.9%
Apr 20,76%
Mar 20,76.3%
Feb 20,76.6%
Jan 20,76.5%
Dec 19,76.5%
Nov 19,76.3%
Oct 19,76.2%
Sep 19,76%
Aug 19,75.9%
Jul 19,76.1%
Jun 19,76.1%
May 19,76%
Apr 19,76.1%
Mar 19,76.1%
Feb 19,76.1%
Jan 19,76.1%
Dec 18,75.8%
Nov 18,75.8%
Oct 18,75.7%
Sep 18,75.6%
Aug 18,75.6%
Jul 18,75.5%
Jun 18,75.5%
May 18,75.6%
Apr 18,75.6%
Mar 18,75.6%
Feb 18,75.4%
Jan 18,75.3%
Dec 17,75.2%
Nov 17,75.3%
Oct 17,75.1%
Sep 17,75%
Aug 17,75.1%
Jul 17,75.3%
Jun 17,75.1%
May 17,74.9%
Apr 17,74.8%
Mar 17,74.8%
Feb 17,74.6%
Jan 17,74.5%
Dec 16,74.6%
Nov 16,74.4%
Oct 16,74.4%
Sep 16,74.4%
Aug 16,74.5%
Jul 16,74.5%
Jun 16,74.4%
May 16,74.4%
Apr 16,74.2%
Mar 16,74.1%
Feb 16,74.1%
Jan 16,74.1%
Dec 15,74.1%
Nov 15,74%
Oct 15,74%
Sep 15,73.8%
Aug 15,73.6%
Jul 15,73.5%
Jun 15,73.4%
May 15,73.3%
Apr 15,73.4%
Mar 15,73.4%
Feb 15,73.4%
Jan 15,73.3%
Dec 14,73.2%
Nov 14,73%
Oct 14,73%
Sep 14,73%
Aug 14,73%
Jul 14,72.8%
Jun 14,72.8%
May 14,72.9%
Apr 14,72.7%
Mar 14,72.5%
Feb 14,72.4%
Jan 14,72.1%
Dec 13,72%
Nov 13,72%
Oct 13,71.9%
Sep 13,71.7%
Aug 13,71.5%
Jul 13,71.5%
Jun 13,71.3%
May 13,71.2%
Apr 13,71.2%
Mar 13,71.2%
Feb 13,71.2%
Jan 13,71.4%
Dec 12,71.4%
Nov 12,71.3%
Oct 12,71.1%
Sep 12,71.1%
Aug 12,71.2%
Jul 12,71.1%
Jun 12,70.9%
May 12,70.7%
Apr 12,70.5%
Mar 12,70.5%
Feb 12,70.3%
Jan 12,70.2%
Dec 11,70.2%
Nov 11,70.1%
Oct 11,70.1%
Sep 11,70.1%
Aug 11,70.2%
Jul 11,70.2%
Jun 11,70.5%
May 11,70.5%
Apr 11,70.5%
Mar 11,70.5%
Feb 11,70.6%
Jan 11,70.5%
Dec 10,70.4%
Nov 10,70.3%
Oct 10,70.5%
Sep 10,70.7%
Aug 10,70.6%
Jul 10,70.6%
Jun 10,70.4%
May 10,70.4%
Apr 10,70.2%
Mar 10,70.2%
Feb 10,70.3%
Jan 10,70.4%
Dec 09,70.6%
Nov 09,70.6%
Oct 09,70.6%
Sep 09,70.6%
Aug 09,70.7%
Jul 09,70.6%
Jun 09,70.8%
May 09,71%
Apr 09,71.4%
Mar 09,71.7%
Feb 09,71.9%
Jan 09,72.2%
Dec 08,72.2%
Nov 08,72.3%
Oct 08,72.3%
Sep 08,72.4%
Aug 08,72.6%
Jul 08,72.8%
Jun 08,72.9%
May 08,73%
Apr 08,73%
Mar 08,73%
Feb 08,73%
Jan 08,72.9%
Dec 07,72.9%
Nov 07,72.8%
Oct 07,72.8%
Sep 07,72.7%
Aug 07,72.6%
Jul 07,72.6%
Jun 07,72.7%
May 07,72.7%
Apr 07,72.5%
Mar 07,72.5%
Feb 07,72.5%
Jan 07,72.6%
Dec 06,72.7%
Nov 06,72.7%
Oct 06,72.8%
Sep 06,72.8%
Aug 06,73%
Jul 06,72.9%
Jun 06,72.8%
May 06,72.8%
Apr 06,72.9%
Mar 06,72.9%
Feb 06,72.8%
Jan 06,72.8%
Dec 05,72.7%
Nov 05,72.8%
Oct 05,72.9%
Sep 05,73%
Aug 05,73%
Jul 05,73%
Jun 05,72.9%
May 05,72.9%
Apr 05,72.9%
Mar 05,73.1%
Feb 05,73.2%
Jan 05,73.1%
Dec 04,73%
Nov 04,73%
Oct 04,72.9%
Sep 04,72.9%
Aug 04,72.8%
Jul 04,72.8%
Jun 04,72.9%
May 04,72.9%
Apr 04,73%
Mar 04,73%
Feb 04,73%
Jan 04,73%
Dec 03,72.8%
Nov 03,72.8%
Oct 03,72.8%
Sep 03,72.8%
Aug 03,72.8%
Jul 03,72.8%
Jun 03,72.9%
May 03,72.8%
Apr 03,72.7%
Mar 03,72.7%
Feb 03,72.6%
Jan 03,72.8%
Dec 02,72.9%
Nov 02,72.8%
Oct 02,72.7%
Sep 02,72.6%
Aug 02,72.7%
Jul 02,72.6%
Jun 02,72.7%
May 02,72.6%
Apr 02,72.6%
Mar 02,72.5%
Feb 02,72.5%
Jan 02,72.5%
Dec 01,72.6%
Nov 01,72.6%
Oct 01,72.5%
Sep 01,72.5%
Aug 01,72.6%
Jul 01,72.6%
Jun 01,72.7%
May 01,72.7%
Apr 01,72.7%
Mar 01,72.6%
Feb 01,72.6%
Jan 01,72.7%
Dec 00,72.5%
Nov 00,72.4%
Oct 00,72.5%
Sep 00,72.6%
Aug 00,72.7%
Jul 00,72.6%
Jun 00,72.5%
May 00,72.4%
Apr 00,72.3%
Mar 00,72.3%
Feb 00,72.2%
Jan 00,72.2%
Dec 99,72.3%
Nov 99,72.2%
Oct 99,72.1%
Sep 99,72.1%
Aug 99,72%
Jul 99,71.9%
Jun 99,71.9%
May 99,71.8%
Apr 99,71.8%
Mar 99,71.9%
Feb 99,71.9%
Jan 99,71.9%
Dec 98,71.8%
Nov 98,71.8%
Oct 98,71.6%
Sep 98,71.6%
Aug 98,71.6%
Jul 98,71.4%
Jun 98,71.3%
May 98,71.3%
Apr 98,71.3%
Mar 98,71.3%
Feb 98,71.2%
Jan 98,71.2%
Dec 97,71.2%
Nov 97,71.2%
Oct 97,71.1%
Sep 97,71.1%
Aug 97,70.9%
Jul 97,70.9%
Jun 97,71%
May 97,70.9%
Apr 97,70.9%
Mar 97,70.8%
Feb 97,70.6%
Jan 97,70.5%
Dec 96,70.3%
Nov 96,70.3%
Oct 96,70.1%
Sep 96,70%
Aug 96,70%
Jul 96,69.9%
Jun 96,69.9%
May 96,69.9%
Apr 96,69.9%
Mar 96,69.9%
Feb 96,69.9%
Jan 96,70%
Dec 95,69.9%
Nov 95,69.7%
Oct 95,69.7%
Sep 95,69.6%
Aug 95,69.6%
Jul 95,69.5%
Jun 95,69.4%
May 95,69.4%
Apr 95,69.3%
Mar 95,69.2%
Feb 95,69.1%
Jan 95,69%
Dec 94,69.1%
Nov 94,69.1%
Oct 94,69%
Sep 94,69%
Aug 94,69%
Jul 94,69%
Jun 94,68.8%
May 94,68.8%
Apr 94,68.8%
Mar 94,68.7%
Feb 94,68.6%
Jan 94,68.5%
Dec 93,68.5%
Nov 93,68.5%
Oct 93,68.5%
Sep 93,68.5%
Aug 93,68.4%
Jul 93,68.4%
Jun 93,68.4%
May 93,68.4%
Apr 93,68.3%
Mar 93,68.4%
Feb 93,68.3%
Jan 93,68.4%
Dec 92,68.5%
Nov 92,68.7%
Oct 92,68.8%
Sep 92,68.9%
Aug 92,68.9%
Jul 92,69%
Jun 92,69.1%
May 92,69.2%
Apr 92,69.3%
Mar 92,69.4%
Feb 92,69.5%
