Year,Gross domestic product in billion international dollars
2021*,1183.26
2020*,1064.8
2019,1076.37
2018,1014.02
2017,945.09
2016,877.25
2015,831.27
2014,783.47
2013,725.65
2012,681.17
2011,633.66
2010,589.49
2009,541.91
2008,546.07
2007,510.96
2006,468.11
2005,430.33
2004,397.55
2003,362.54
2002,336.45
2001,314.27
2000,305.94
1999,275.37
1998,255.77
1997,273.02
1996,250.07
1995,223.24
1994,199.09
1993,178.48
1992,158.65
1991,142.46
1990,125.79
1989,111.23
1988,98.14
1987,86.23
1986,79.85
1985,77.38
1984,75.67
