Household Expenditure,Average expenditure in Canadian dollars
Shelter,13846
Transportation,12612
Income taxes,12003
Food expenditures,8250
Household operations,4894
Personal insurance payments and pension contributions,4728
Health care,3004
Recreation,2948
Clothing and accessories,2787
Household furnishings and equipment,2221
"Gifts of money, support payments and charitable contributions",1741
Miscellaneous expenditures,1239
Tobacco products and alcoholic beverages,1126
Personal care,927
Education,883
Reading materials and other printed matter,136
Games of chance,109
