Year,Population in thousands
2020,9006.4
2019,8955.11
2018,8891.38
2017,8819.9
2016,8747.31
2015,8678.67
2014,8615.21
2013,8556.19
2012,8502.23
2011,8453.5
2010,8409.95
2009,8372.66
2008,8341.53
2007,8313.73
2006,8285.35
2005,8253.66
2004,8216.81
2003,8175.86
2002,8134.4
2001,8097.76
2000,8069.28
1999,8051.12
1998,8041.05
1997,8032.87
1996,8017.85
1995,7990.11
1994,7947.22
1993,7892.09
1992,7830.94
1991,7772.7
1990,7723.95
1989,7686.56
1988,7658.86
1987,7639.35
1986,7625.4
1985,7614.87
1984,7607.3
1983,7603.1
1982,7602.18
1981,7604.51
1980,7609.75
1979,7617.88
1978,7627.76
1977,7636.57
1976,7640.76
1975,7637.69
1974,7626.29
1973,7607.07
1972,7581.12
1971,7550.34
1970,7516.24
1969,7479.34
1968,7439.58
1967,7397.17
1966,7352.24
1965,7305.15
1964,7256.09
1963,7205.99
1962,7156.84
1961,7111.14
1960,7070.77
1959,7036.55
1958,7008.42
1957,6985.72
1956,6967.62
1955,6953.4
1954,6942.62
1953,6935.15
1952,6931.19
1951,6931.35
1950,6936.44
1949,6920.0
1948,6900.0
1947,6870.0
1946,6850.0
1945,6830.0
1944,6800.0
1943,6780.0
1942,6760.0
1941,6740.0
1940,6730.0
1939,6720.0
1938,6710.0
1937,6710.0
1936,6700.0
1935,6700.0
1934,6700.0
1933,6700.0
1932,6700.0
1931,6690.0
1930,6680.0
1929,6660.0
1928,6650.0
1927,6620.0
1926,6600.0
1925,6580.0
1924,6550.0
1923,6530.0
1922,6510.0
1921,6490.0
1920,6490.0
1919,6490.0
1918,6490.0
1917,6510.0
1916,6530.0
1915,6540.0
1914,6560.0
1913,6570.0
1912,6590.0
1911,6590.0
1910,6570.0
1909,6540.0
1908,6490.0
1907,6420.0
1906,6360.0
1905,6290.0
1904,6230.0
1903,6170.0
1902,6100.0
1901,6040.0
1900,5980.0
1899,5920.0
1898,5860.0
1897,5800.0
1896,5740.0
1895,5680.0
1894,5620.0
1893,5570.0
1892,5510.0
1891,5460.0
1890,5400.0
1889,5350.0
1888,5300.0
1887,5260.0
1886,5210.0
1885,5170.0
1884,5120.0
1883,5080.0
1882,5030.0
1881,4990.0
1880,4940.0
1879,4900.0
1878,4860.0
1877,4810.0
1876,4770.0
1875,4730.0
1874,4690.0
1873,4640.0
1872,4600.0
1871,4560.0
1870,4530.0
1869,4490.0
1868,4460.0
1867,4430.0
1866,4410.0
1865,4380.0
1864,4350.0
1863,4320.0
1862,4290.0
1861,4260.0
1860,4230.0
1859,4210.0
1858,4180.0
1857,4150.0
1856,4120.0
1855,4090.0
1854,4060.0
1853,4030.0
1852,4010.0
1851,3980.0
1850,3950.0
1849,3930.0
1848,3900.0
1847,3880.0
1846,3850.0
1845,3830.0
1844,3810.0
1843,3780.0
1842,3760.0
1841,3740.0
1840,3720.0
1839,3700.0
1838,3680.0
1837,3660.0
1836,3640.0
1835,3630.0
1834,3610.0
1833,3590.0
1832,3570.0
1831,3560.0
1830,3540.0
1829,3520.0
1828,3500.0
1827,3490.0
1826,3470.0
1825,3450.0
1824,3440.0
1823,3420.0
1822,3400.0
1821,3390.0
1820,3370.0
1819,3350.0
1818,3330.0
1817,3310.0
1816,3290.0
1815,3270.0
1814,3250.0
1813,3240.0
1812,3220.0
1811,3200.0
1810,3180.0
1809,3160.0
1808,3140.0
1807,3120.0
1806,3110.0
1805,3090.0
1804,3070.0
1803,3050.0
1802,3040.0
1801,3020.0
1800,3000.0
