Industry,Real value added in billion chained (2012) U.S. dollars
"Finance, insurance, real estate, rental, and leasing",66.16
Professional and business services,36.9
Government and government enterprises,38.12
"Educational services, health care, and social assistance",31.16
Manufacturing,28.42
Retail trade,23.99
Wholesale trade,18.06
Information,13.59
"Arts, entertainment, recreation, accommodation, and food services",14.03
Construction,13.23
Transportation and warehousing,9.72
"Mining, quarrying, and oil and gas extraction",5.62
Utilities,6.01
"Agriculture, forestry, fishing, and hunting",3.43
