State,Volume of trade goods in million U.S. dollars
Alabama,28437.7
Alaska,2294.6
Arizona,26551.4
Arkansas,9605.0
California,408128.4
Colorado,13124.2
Connecticut,20077.3
Delaware,9519.6
Dist of Columbia,680.8
Florida,81742.1
Georgia,102142.0
Hawaii,3784.3
Idaho,5127.8
Illinois,163854.1
Indiana,64421.1
Iowa,10073.8
Kansas,12181.5
Kentucky,56880.0
Louisiana,29368.7
Maine,4643.9
Maryland,35576.9
Massachusetts,36470.3
Michigan,142447.5
Minnesota,29987.9
Mississippi,17049.6
Missouri,20559.4
Montana,4652.5
Nebraska,4270.7
Nevada,10950.5
New Hampshire,10540.0
New Jersey,126295.2
New Mexico,4450.1
New York,132931.7
North Carolina,59603.6
North Dakota,3428.2
Ohio,69014.3
Oklahoma,11830.1
Oregon,18661.9
Pennsylvania,90001.0
Rhode Island,11588.1
South Carolina,42314.8
South Dakota,1149.6
Tennessee,87227.9
Texas,294765.4
Utah,15259.3
Vermont,3939.1
Virginia,30014.3
Washington,52898.5
West Virginia,3516.4
Wisconsin,28482.5
Wyoming,1475.9
