US University,Tuition and fees in thousand U.S. dollars
"Hofstra (Zarb) - Hempstead, NY",45
"Brigham Young (Marriott) - Provo, UT",47
"Buffalo - Buffalo, NY",51
"Texas A&M (Mays) - College Station, TX",53
"Alabama (Manderson) - Tuscaloosa, AL",54
"Wisconsin-Madison - Madison, WI",59
"Missouri (Trulaske) - Columbia, MO",60
"Florida (Hough) - Gainesville, FL",61
"CUNY Baruch (Zicklin) - New York, NY",64
"Pittsburgh (Katz) - Pittsburgh, PA",64
"Colorado (Leeds) - Boulder, CO",66
"Georgia (Terry) - Athens, GA",67
"LSU (Ourso) - Baton Rouge, LA",68
"Rollins (Crummer) - Winter Park, FL",69
"Illinois-Urbana-Champaign - Champaign, IL",73
"Willamette (Atkinson) - Salem, OR",74
"Iowa (Tippie) - Iowa City, IA",75
"Temple (Fox) - Philadelphia, PA",77
"Penn State (Smeal) - University Park, PA",77
"American (Kogod) - Washington, DC",80
