Year,Number of deaths
"5 Jan, 21",51430
"4 Jan, 21",51078
31 Dec,50837
30 Dec,50689
29 Dec,50442
28 Dec,50122
24 Dec,49824
23 Dec,49698
22 Dec,49520
21 Dec,49260
18 Dec,48926
17 Dec,48777
16 Dec,48596
15 Dec,48401
14 Dec,48013
11 Dec,47624
10 Dec,47344
9 Dec,47019
7 Dec,46646
4 Dec,46252
3 Dec,46038
2 Dec,45784
1 Dec,45511
30 Nov,45069
27 Nov,44668
26 Nov,44374
25 Nov,44037
24 Nov,43668
23 Nov,43131
20 Nov,42619
19 Nov,42291
18 Nov,42039
17 Nov,41688
16 Nov,41253
13 Nov,40769
12 Nov,40461
11 Nov,40105
10 Nov,39756
9 Nov,39345
6 Nov,38833
5 Nov,38486
4 Nov,38118
3 Nov,36495
2 Nov,36257
30 Oct,35878
29 Oct,35639
28 Oct,35466
27 Oct,35298
26 Oct,35031
23 Oct,34752
22 Oct,34521
21 Oct,34366
20 Oct,34210
19 Oct,33992
16 Oct,33775
15 Oct,33553
14 Oct,33413
13 Oct,33204
12 Oct,33124
9 Oct,32929
8 Oct,32688
7 Oct,32562
6 Oct,32486
5 Oct,32225
2 Oct,32086
1 Oct,31973
30 Sep,31791
29 Sep,31614
28 Sep,31411
25 Sep,31232
24 Sep,31118
23 Sep,31034
22 Sep,30904
21 Sep,30663
18 Sep,30495
17 Sep,30405
16 Sep,30243
15 Sep,30004
14 Sep,29848
11 Sep,29747
10 Sep,29699
9 Sep,29628
8 Sep,29594
7 Sep,29516
4 Sep,29418
3 Sep,29234
2 Sep,29194
1 Sep,29152
31 Aug,29094
28 Aug,29011
27 Aug,28996
26 Aug,28971
25 Aug,28924
24 Aug,28872
21 Aug,28838
20 Aug,28813
19 Aug,28797
18 Aug,28670
17 Aug,28646
14 Aug,28617
13 Aug,28605
12 Aug,28579
11 Aug,28581
10 Aug,28576
7 Aug,28503
6 Aug,28500
5 Aug,28499
4 Aug,28498
3 Aug,28472
31 Jul,28445
30 Jul,28443
29 Jul,28441
28 Jul,28436
27 Jul,28434
24 Jul,28432
23 Jul,28429
22 Jul,28426
21 Jul,28424
20 Jul,28422
17 Jul,28420
16 Jul,28416
15 Jul,28413
14 Jul,28409
13 Jul,28406
10 Jul,28403
9 Jul,28401
8 Jul,28396
7 Jul,28392
6 Jul,28388
3 Jul,28385
2 Jul,28368
1 Jul,28363
30 Jun,28355
29 Jun,28346
28 Jun,28343
27 Jun,28342
26 Jun,28338
25 Jun,28330
24 Jun,28327
23 Jun,28325
22 Jun,28324
21 Jun,28323
20 Jun,28322
19 Jun,28315
18 Jun,27136
17 Jun,27136
16 Jun,27136
15 Jun,27136
14 Jun,27136
13 Jun,27136
12 Jun,27136
11 Jun,27136
10 Jun,27136
9 Jun,27136
8 Jun,27136
7 Jun,27136
6 Jun,27135
5 Jun,27134
4 Jun,27133
3 Jun,27128
2 Jun,27127
1 Jun,27127
31 May,27127
30 May,27125
29 May,27121
28 May,27119
27 May,27118
26 May,27117
25 May,26834
24 May,28752
23 May,28678
22 May,28628
21 May,27940
20 May,27888
19 May,27778
18 May,27709
17 May,27650
16 May,27563
15 May,27459
14 May,27321
13 May,27104
12 May,26920
11 May,26744
10 May,26621
9 May,26478
8 May,26299
7 May,26070
6 May,25857
5 May,25613
4 May,25428
3 May,25264
2 May,25100
1 May,24824
30 Apr,24543
29 Apr,24275
28 Apr,23822
27 Apr,23521
26 Apr,23190
25 Apr,22902
24 Apr,22524
23 Apr,22157
22 Apr,21717
21 Apr,21282
20 Apr,20852
19 Apr,20453
18 Apr,20043
17 Apr,19478
16 Apr,19130
15 Apr,18579
14 Apr,18056
13 Apr,17489
12 Apr,16972
11 Apr,16353
10 Apr,15843
9 Apr,15238
8 Apr,14555
7 Apr,13798
6 Apr,13055
5 Apr,12418
4 Apr,11744
3 Apr,10935
2 Apr,10003
1 Apr,9053
31 Mar,8189
30 Mar,7340
29 Mar,6528
28 Mar,5690
27 Mar,4858
26 Mar,4089
25 Mar,3434
24 Mar,2696
23 Mar,2182
22 Mar,1720
21 Mar,1326
20 Mar,1002
19 Mar,767
18 Mar,598
17 Mar,491
16 Mar,309
15 Mar,288
14 Mar,136
13 Mar,121
12 Mar,84
11 Mar,48
10 Mar,36
9 Mar,28
6 Mar,5
5 Mar,3
4 Mar,1
