Month,Reserve position in million U.S. dollars
Aug '20,6949
Jul '20,6959
Jun '20,6638
May '20,6483
Apr '20,6479
Mar '20,6359
Feb '20,6400
Jan '20,6425
Dec '19,6486
Nov '19,6439
Oct '19,7115
Sep '19,7063
Aug '19,7139
Jul '19,7197
Jun '19,6986
May '19,6958
Apr '19,7048
Mar '19,6422
Feb '19,6467
Jan '19,6480
Dec '18,6434
Nov '18,6497
Oct '18,6494
Sep '18,6279
Aug '18,6306
Jul '18,6249
Jun '18,6305
May '18,5618
Apr '18,5705
Mar '18,5766
Feb '18,5735
Jan '18,5800
Dec '17,5939
Nov '17,6490
Oct '17,6617
Sep '17,6756
Aug '17,6757
Jul '17,6657
Jun '17,6968
May '17,6950
Apr '17,6892
Mar '17,6571
Feb '17,6557
Jan '17,6772
Dec '16,6678
Nov '16,6773
Oct '16,7356
Sep '16,7314
Aug '16,7091
Jul '16,7098
Jun '16,7280
May '16,7301
Apr '16,7389
Mar '16,7426
Feb '16,7281
Jan '16,4181
