Month,Inflation rate
Sep '19,2.1%
Aug '19,3.1%
Jul '19,3%
Jun '19,2.6%
May '19,2.3%
Apr '19,2.5%
Mar '19,2.5%
Feb '19,3.1%
Jan '19,2.7%
Dec '18,2.5%
Nov '18,1.9%
Oct '18,2.2%
Sep '18,2.8%
Aug '18,2.2%
Jul '18,1.9%
Jun '18,1.9%
May '18,1.8%
Apr '18,1.6%
Mar '18,1.5%
Feb '18,0.8%
Jan '18,1.2%
Dec '17,1.3%
Nov '17,1.5%
Oct '17,1.5%
Sep '17,1.1%
Aug '17,0.6%
Jul '17,0.7%
Jun '17,0.78%
May '17,0.4%
Apr '17,0.7%
Mar '17,0.8%
Feb '17,1.6%
Jan '17,1.3%
Dec '16,0.7%
Nov '16,0.3%
Oct '16,-0.1%
Sep '16,0.5%
Aug '16,1.5%
Jul '16,1.2%
Jun '16,0.6%
May '16,1%
Apr '16,0.4%
Mar '16,0.4%
Feb '16,0.2%
Jan '16,0.4%
Dec '15,0.6%
Nov '15,0.8%
Oct '15,1%
Sep '15,0.9%
Aug '15,0.8%
Jul '15,0.4%
Jun '15,0.4%
May '15,0.4%
