Response,Share of internet users
Buy a product online,45%
Buy or make a reservation for travel,20%
Check weather reports and forecasts online,55%
Do any banking online,55%
Get news online,66%
Look for news and information about politics,42%
Participate in an online auction,14%
Send instant messages,35%
Send or read e-mail,82%
Use a search engine to find information,70%
Use a social networking site,56%
Use classified ads sites like Craigslist,15%
Watch a video on a video-sharing site,40%
None of the above,1%
I don’t use the Internet,0%
