Response,Share of respondents
"Small staff, transitions in staff",18%
"Donor cultivation, acquisition, retention, communications",11%
"Economy, national mood",10%
Tax law impact still to come,10%
"Organization issues (board, CEO/leadership, fundraising, budget)",9%
"Local issues, including number of nonprofits competing for dollars",8%
Mission/purpose/programs,8%
Ending or starting a campaign,6%
"""Culture of philanthropy"" including CRM, communications plan, strategic plan, etc.",6%
Shifting demographics,5%
"Institutional donors, including government funding",5%
Event fundraising,2%
Affected by disasters,1%
