Month,Number of cases
"Jan 6, 2021",1149591
"Jan 5, 2021",1127759
"Jan 4, 2021",1113349
"Jan 3, 2021",1100748
"Jan 2, 2021",1088889
"Jan 1, 2021",1073887
"Dec 31, 2020",1057161
"Dec 30, 2020",1039161
"Dec 29, 2020",1021451
"Dec 28, 2020",1011871
"Dec 27, 2020",1004413
"Dec 26, 2020",994911
"Dec 25, 2020",983359
"Dec 24, 2020",968563
"Dec 23, 2020",954258
"Dec 22, 2020",940212
"Dec 21, 2020",930711
"Dec 20, 2020",921922
"Dec 19, 2020",912477
"Dec 18, 2020",901538
"Dec 17, 2020",892813
"Dec 16, 2020",883687
"Dec 15, 2020",873679
"Dec 14, 2020",866127
"Dec 13, 2020",860964
"Dec 12, 2020",852965
"Dec 11, 2020",845083
"Dec 10, 2020",836764
"Dec 9, 2020",828598
"Dec 8, 2020",821889
"Dec 7, 2020",817878
"Dec 6, 2020",814565
"Dec 5, 2020",810449
"Dec 4, 2020",805804
"Dec 3, 2020",800872
"Dec 2, 2020",796472
"Dec 1, 2020",792299
"Nov 30, 2020",790004
"Nov 29, 2020",787702
"Nov 28, 2020",785139
"Nov 27, 2020",781941
"Nov 26, 2020",778571
"Nov 25, 2020",775502
"Nov 24, 2020",772252
"Nov 23, 2020",769759
"Nov 22, 2020",767679
"Nov 21, 2020",765409
"Nov 20, 2020",762763
"Nov 19, 2020",759658
"Nov 18, 2020",757144
"Nov 17, 2020",754256
"Nov 16, 2020",752269
"Nov 15, 2020",751024
"Nov 14, 2020",749182
"Nov 13, 2020",746945
"Nov 12, 2020",744732
"Nov 11, 2020",742394
"Nov 10, 2020",740254
"Nov 9, 2020",738525
"Nov 8, 2020",737278
"Nov 7, 2020",735906
"Nov 6, 2020",734175
"Nov 5, 2020",732414
"Nov 4, 2020",730548
"Nov 3, 2020",728836
"Nov 2, 2020",727595
"Nov 1, 2020",726823
"Oct 31, 2020",725452
"Oct 30, 2020",723682
"Oct 29, 2020",721770
"Oct 28, 2020",719714
"Oct 27, 2020",717851
"Oct 26, 2020",716759
"Oct 25, 2020",715868
"Oct 24, 2020",714246
"Oct 23, 2020",712412
"Oct 22, 2020",710515
"Oct 21, 2020",708359
"Oct 20, 2020",706304
"Oct 19, 2020",705254
"Oct 18, 2020",703793
"Oct 17, 2020",702131
"Oct 16, 2020",700203
"Oct 15, 2020",698184
"Oct 14, 2020",696414
"Oct 13, 2020",694537
"Oct 12, 2020",693359
"Oct 11, 2020",692471
"Oct 10, 2020",690896
"Oct 9, 2020",688352
"Oct 8, 2020",686891
"Oct 7, 2020",685155
