department of France,Number of people
Rhône,1425
Nord,1296
Bouches-du-Rhône,1199
Paris,934
Isère,878
Yvelines,786
Val-de-Marne,786
Loire,733
Seine-Saint-Denis,732
Hauts-de-Seine,721
Pas-de-Calais,677
Essonne,589
Seine-Maritime,512
Saône-et-Loire,476
Val-d'Oise,467
Moselle,456
Haute-Savoie,449
Alpes-Maritimes,449
Bas-Rhin,428
Seine-et-Marne,417
Guadeloupe,396
Ain,392
Côte-d'Or,352
Gironde,351
Meurthe-et-Moselle,339
Oise,304
Savoie,303
Vaucluse,302
Haute-Garonne,302
Pyrénées-Atlantiques,294
Hérault,287
Puy-de-Dôme,285
Haut-Rhin,283
Var,281
Gard,274
Loire-Atlantique,267
Ille-et-Vilaine,260
Sarthe,248
Maine-et-Loire,239
Drôme,239
Allier,225
Vosges,223
Loiret,219
Marne,215
Calvados,206
Aisne,206
Yonne,200
Ardèche,200
Somme,192
Jura,185
Eure,184
Eure-et-Loir,182
Hautes-Alpes,178
Doubs,166
Cher,165
Haute-Vienne,162
Haute-Loire,161
Hautes-Pyrénées,157
Territoire de Belfort,155
Morbihan,152
Indre-et-Loire,152
Ardennes,151
Orne,148
Aube,138
Alpes-de-Haute-Provence,137
Manche,136
Tarn,127
Haute-Marne,117
Loir-et-Cher,115
Vendée,104
Mayenne,100
Aveyron,94
Landes,93
Deux-Sèvres,91
Lot-et-Garonne,87
Nièvre,85
Charente-Maritime,77
Haute-Saône,76
Pyrénées-Orientales,75
Finistère,72
Cantal,72
Dordogne,70
Tarn-et-Garonne,69
Aude,68
Indre,66
Meuse,64
Réunion,62
Vienne,62
Côtes-d'Armor,59
Lozère,47
Corrèze,46
Lot,44
Creuse,38
Charente,38
Ariège,37
Martinique,32
Gers,30
Corse-du-Sud,25
Haute-Corse,17
Guyane,14
Mayotte,10
