Ads Topic,Spending in million U.S. dollars
Jobs,170.38
Budget/Government Spending,136.87
Anti-Obama Message,129.19
Taxes,96.99
Pro-Obama Message,79.14
Anti-Romney Message,66.35
Pro-Romney Message,59.31
Healthcare,52.86
Energy/Environment,48.54
Call to Action,47.01
Healthcare Anti-Obama Plan,29.54
Energy/Environment Solyndra,22.92
Financial Reform,21.74
Education,21.61
Gas/Oil,20.11
Anti-Bain Capital,19.55
Corruption,19.14
Anti-Gingrich Message,16.77
Anti-Santorum Message,14.0
Healthcare General,12.92
Pro Bain Capital,12.24
Abortion,12.14
Iraq/Afghan War,11.43
Energy/Environment Anti-Oil,10.1
Medicare,7.69
Debt Plan,7.67
Energy/Environment Keystone,6.58
Immigration,6.46
Pro-Gingrich Message,5.88
Pro-Santorum Message,5.83
Spanish,4.89
Energy/Environment Global Warming,4.76
Pro-Perry Message,4.38
Pro-Paul Message,3.98
Trade,3.82
Trade China,3.51
International Affairs,2.79
Healthcare Anti-Insurance,2.59
Transportation,1.74
Union,1.68
Healthcare Pro-Obama Plan,1.25
Anti-Perry Message,1.22
Pro-Huntsman Message,1.14
Energy/Environment Pro-Epa,0.87
Energy/Environment Anti-Epa,0.71
Healthcare Public Option,0.65
Anti-Bachmann Message,0.64
National Defense,0.62
Energy/Environment Anti-Cap and Trade,0.57
Tort Reform,0.51
Public Safety,0.44
Gun Control,0.41
Anti-Paul Message,0.4
Anti-Cain Message,0.36
Social Security,0.2
Super Committee,0.13
Voting,0.1
Gaming,0.09
Pro-Bachmann Message,0.03
Gay Marriage,0.02
Prescription Drugs Anti-Industry,0.01
Prescription Drugs,0.01
Anti-Huntsman Message,0.01
Pro-Cain Message,0.0
