Company (Country of origin),Billion U.S. dollars
Schwarz Unternehmenstreuhand KG (Germany),121.58
Aldi Einkauf GmbH & Co. oHG (Germany)*,106.18
Carrefour S.A. (France)***,84.13
Tesco PLC (UK),82.8
Ahold Delhaize (Netherlands)****,74.08
Edeka Group (Germany)**,62.05
Auchan Holding SA (France),59.3
Rewe Group (Germany)**,56.44
Centres Distributeurs E. Leclerc (France)* **,44.48
Casino Guichard-Perrachon S.A. (France),43.18
The IKEA Group (INGKA Holding B.V.) (Netherlands),41.47
LVMH Moët Hennessy-Louis Vuitton S.A. (France),37.85
J Sainsbury plc (UK),37.52
ITM Developpement International (Intermarche; France)* **,36.63
"Inditex, S.A. (Spain)**",30.67
Metro AG (Germany)*,28.72
"Mercadona, SA (Spain)",26.26
Ceconomy AG (Germany),25.48
Migros-Genossenschafts Bund (Switzerland)* **,25.13
X5 Retail Group N.V.,24.39
