Year,GDP per capita in U.S. dollars
2025*,4439.12
2024*,4344.22
2023*,4253.7
2022*,4161.55
2021*,3967.92
2020*,3733.98
2019,4497.99
2018,4700.93
2017,4734.97
2016,4696.43
2015,4680.26
2014,4742.92
2013,4599.12
2012,4588.8
2011,4475.07
2010,4316.26
2009,4135.73
2008,4249.07
2007,4143.09
2006,4040.72
2005,3818.45
2004,3743.26
2003,3618.47
2002,3516.41
2001,3388.37
2000,3330.96
1999,3013.08
1998,2888.41
1997,2845.15
1996,2888.6
1995,2863.58
1994,2751.79
1993,2729.91
1992,2603.28
1991,2291.93
1990,2179.95
1989,1976.87
1988,1759.22
1987,1518.63
1986,1332.6
1985,1258.66
