Leading health insurance companies,Revenue in gross written premiums in million euros
Zilveren Kruis Zorgverzekeringen N.V. B+A,10280
VGZ Zorgverzekeraar N.V.,7668
OWM CZ groep Zorgverzekeraar U.A.,7283
Menzis Zorgverzekeraar N.V.,5469
"DSW U.A., OWM Zorgverzekeraar",1450
De Friesland Zorgverzekeraar N.V.,1448
IZA Zorgverzekeraar N.V.,1424
O.W.M. Zorgverz. Zorg en Zekerheid UA,1421
Achmea Zorgverzekeringen N.V.,1248
OWM CZ groep Aanvullende verzekering Zorgverzekeraar U.A.,693
FBTO Zorgverzekeringen N.V.,623
AnderZorg N.V.,616
Interpolis Zorgverzekeringen N.V.,483
Eno Zorgverzekeraar N.V.,381
OHRA Zorgverzekeringen N.V.,315
N.V. Zorgverzekeraar UMC,268
Stad Holland Zorgverzekeraar Onderlinge Waarborgmaatschappij U.A.,258
Onderlinge Waarborgmaatschappij voor Instellingen in de Gezondheidszorg MediRisk B.A.,16
