Year,Inflation rate compared to previous year
2025*,8.38%
2024*,9.28%
2023*,10.45%
2022*,12.3%
2021*,15.5%
2020*,15.7%
2019,14.8%
2018,16.03%
2017,18.22%
2016,10.88%
2015,6.69%
2014,4.65%
2013,5.52%
2012,6.59%
2011,6.79%
2010,7.19%
2009,7.47%
2008,8.21%
2007,16.97%
2006,10.53%
2005,13.7%
2004,12.92%
2003,3.99%
2002,0.12%
2001,2.57%
2000,-0.92%
1999,34.09%
1998,35.99%
1997,14.56%
1996,23.14%
1995,25.99%
1994,24.2%
1993,22.2%
1992,65.5%
1991,102.7%
1990,110.95%
1989,60.8%
1988,34.29%
1987,178.7%
1986,80.87%
1985,76.58%
